id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
wc_post_id_1636,"PAMPERS Pants No.4 Jumbo 52","Extra Dry: absorbcijas sistēma nodrošina līdz pat 12 stundām sausumu.Elpojošs mikroporu membrāna, caur kuru svaigs gaiss ienāk un iziet, bet losjons ar alveju palīdz aizsargāt mazuļa ādu.Gumijas autiņu malas ideāli pieguļ bērna ķermenim.Materiāls ir mīksts kā kokvilna 4 izmērs. Piemērots mazuļiem svarā: 9-14 Kg. 52 autiņbiksītes.",https://www.zupu.lv/wp-content/uploads/2020/07/pampers4.png,https://www.zupu.lv/product/pampers-pants-no-4-jumbo-52/,"Bērnu higiēnas preces","zupu",12.1EUR,in stock,wc_post_id_1636,https://www.zupu.lv/grozs/?add-to-cart=1636,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,12.1EUR,new,published,,
wc_post_id_1634,"PAMPERS Pants No.5 Jumbo 48","Extra Dry: absorbcijas sistēma nodrošina līdz pat 12 stundām sausumu.Elpojošs mikroporu membrāna, caur kuru svaigs gaiss ienāk un iziet, bet losjons ar alveju palīdz aizsargāt mazuļa ādu.Gumijas autiņu malas ideāli pieguļ bērna ķermenim.Materiāls ir mīksts kā kokvilna Piemērots mazuļiem svarā: 12-18 Kg. 5 izmērs. 44 autiņbiksītes",https://www.zupu.lv/wp-content/uploads/2020/07/PAMPERS-Pants-No.5-Jumbo-48.jpg,https://www.zupu.lv/product/pampers-pants-no-5-jumbo-48/,"Bērnu higiēnas preces","zupu",12.1EUR,in stock,wc_post_id_1634,https://www.zupu.lv/grozs/?add-to-cart=1634,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,12.1EUR,new,published,,
wc_post_id_1632,"PAMPERS Pants No.6 Jumbo 44","Extra Dry: absorbcijas sistēma nodrošina līdz pat 12 stundām sausumu.Elpojošs mikroporu membrāna, caur kuru svaigs gaiss ienāk un iziet, bet losjons ar alveju palīdz aizsargāt mazuļa ādu.Gumijas autiņu malas ideāli pieguļ bērna ķermenim.Materiāls ir mīksts kā kokvilna Piemērots mazuļiem svarā: 16+ Kg. 6 izmērs. 44 autiņbiksītes.",https://www.zupu.lv/wp-content/uploads/2020/07/PAMPERS-Pants-No.6-Jumbo-44.jpg,https://www.zupu.lv/product/pampers-pants-no-6-jumbo-44/,"Bērnu higiēnas preces","zupu",10.3EUR,in stock,wc_post_id_1632,https://www.zupu.lv/grozs/?add-to-cart=1632,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,10.3EUR,new,published,,
wc_post_id_1625,"Gāzēts dzēriens 'Pepsi'","Tilpums: 1.5l",https://www.zupu.lv/wp-content/uploads/2020/07/pepsi-1.5.jpg,https://www.zupu.lv/product/gazets-dzeriens-pepsi/?attribute_tilpums=1.5l,"Dzērieni","zupu",1.1EUR,in stock,wc_post_id_1624,https://www.zupu.lv/grozs/?add-to-cart=1624&variation_id=1625&attribute_tilpums=1.5l,"https://www.zupu.lv/wp-content/uploads/2020/07/pepsi-0.5.png,https://www.zupu.lv/wp-content/uploads/2020/07/pepsi-0.33.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1.1EUR,new,published,,"tilpums:1.5l/0.5l/0.33l bundžiņa:1.5l"
wc_post_id_1626,"Gāzēts dzēriens 'Pepsi'","Tilpums: 0.5l",https://www.zupu.lv/wp-content/uploads/2020/07/pepsi-0.5.png,https://www.zupu.lv/product/gazets-dzeriens-pepsi/?attribute_tilpums=0.5l,"Dzērieni","zupu",0.68EUR,in stock,wc_post_id_1624,https://www.zupu.lv/grozs/?add-to-cart=1624&variation_id=1626&attribute_tilpums=0.5l,"https://www.zupu.lv/wp-content/uploads/2020/07/pepsi-1.5.jpg,https://www.zupu.lv/wp-content/uploads/2020/07/pepsi-0.5.png,https://www.zupu.lv/wp-content/uploads/2020/07/pepsi-0.33.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,0.68EUR,new,published,,"tilpums:1.5l/0.5l/0.33l bundžiņa:0.5l"
wc_post_id_1627,"Gāzēts dzēriens 'Pepsi'","Tilpums: 0.33l bundžiņa",https://www.zupu.lv/wp-content/uploads/2020/07/pepsi-0.33.jpg,https://www.zupu.lv/product/gazets-dzeriens-pepsi/?attribute_tilpums=0.33l+bund%C5%BEi%C5%86a,"Dzērieni","zupu",0.43EUR,in stock,wc_post_id_1624,https://www.zupu.lv/grozs/?add-to-cart=1624&variation_id=1627&attribute_tilpums=0.33l+bund%C5%BEi%C5%86a,"https://www.zupu.lv/wp-content/uploads/2020/07/pepsi-1.5.jpg,https://www.zupu.lv/wp-content/uploads/2020/07/pepsi-0.5.png,https://www.zupu.lv/wp-content/uploads/2020/07/pepsi-0.33.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,0.43EUR,new,published,,"tilpums:1.5l/0.5l/0.33l bundžiņa:0.33l bundžiņa"
wc_post_id_1617,"Gāzēts dzēriens '7up'","Tilpums: 1.5l",https://www.zupu.lv/wp-content/uploads/2020/07/7up-15l.png,https://www.zupu.lv/product/gazets-dzeriens-7up/?attribute_tilpums=1.5l,"Dzērieni","zupu",1.1EUR,in stock,wc_post_id_1616,https://www.zupu.lv/grozs/?add-to-cart=1616&variation_id=1617&attribute_tilpums=1.5l,"https://www.zupu.lv/wp-content/uploads/2020/07/7up-05l.jpg,https://www.zupu.lv/wp-content/uploads/2020/07/7-7up-1-Litre.jpg,https://www.zupu.lv/wp-content/uploads/2020/07/7up-033.jpg,https://www.zupu.lv/wp-content/uploads/2020/07/7up-15l.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1.1EUR,new,published,,"tilpums:1.5l/0.5l/0.33l bundžiņa:1.5l"
wc_post_id_1618,"Gāzēts dzēriens '7up'","Tilpums: 0.5l",https://www.zupu.lv/wp-content/uploads/2020/07/7up-05l.jpg,https://www.zupu.lv/product/gazets-dzeriens-7up/?attribute_tilpums=0.5l,"Dzērieni","zupu",0.1EUR,in stock,wc_post_id_1616,https://www.zupu.lv/grozs/?add-to-cart=1616&variation_id=1618&attribute_tilpums=0.5l,"https://www.zupu.lv/wp-content/uploads/2020/07/7up-15l.png,https://www.zupu.lv/wp-content/uploads/2020/07/7up-05l.jpg,https://www.zupu.lv/wp-content/uploads/2020/07/7-7up-1-Litre.jpg,https://www.zupu.lv/wp-content/uploads/2020/07/7up-033.jpg,https://www.zupu.lv/wp-content/uploads/2020/07/7up-15l.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,0.1EUR,new,published,,"tilpums:1.5l/0.5l/0.33l bundžiņa:0.5l"
wc_post_id_1619,"Gāzēts dzēriens '7up'","Tilpums: 0.33l bundžiņa",https://www.zupu.lv/wp-content/uploads/2020/07/7up-033.jpg,https://www.zupu.lv/product/gazets-dzeriens-7up/?attribute_tilpums=0.33l+bund%C5%BEi%C5%86a,"Dzērieni","zupu",0.44EUR,in stock,wc_post_id_1616,https://www.zupu.lv/grozs/?add-to-cart=1616&variation_id=1619&attribute_tilpums=0.33l+bund%C5%BEi%C5%86a,"https://www.zupu.lv/wp-content/uploads/2020/07/7up-15l.png,https://www.zupu.lv/wp-content/uploads/2020/07/7up-05l.jpg,https://www.zupu.lv/wp-content/uploads/2020/07/7-7up-1-Litre.jpg,https://www.zupu.lv/wp-content/uploads/2020/07/7up-033.jpg,https://www.zupu.lv/wp-content/uploads/2020/07/7up-15l.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,0.44EUR,new,published,,"tilpums:1.5l/0.5l/0.33l bundžiņa:0.33l bundžiņa"
wc_post_id_1613,"Gāzēts dzēriens 'Sprite'","Tilpums: 0.33 bundžiņa",https://www.zupu.lv/wp-content/uploads/2020/07/sprite-bundzina.png,https://www.zupu.lv/product/gazets-dzeriens-sprite/?attribute_tilpums=0.33+bund%C5%BEi%C5%86a,"Dzērieni","zupu",0.51EUR,in stock,wc_post_id_1608,https://www.zupu.lv/grozs/?add-to-cart=1608&variation_id=1613&attribute_tilpums=0.33+bund%C5%BEi%C5%86a,"https://www.zupu.lv/wp-content/uploads/2020/07/sprite.jpg,https://www.zupu.lv/wp-content/uploads/2020/07/sprite-0.5.jpg,https://www.zupu.lv/wp-content/uploads/2020/07/sprite-bundzina.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,0.51EUR,new,published,,"tilpums:2l/1.5l/1l/0.5l/0.33 bundžiņa:0.33 bundžiņa"
